id,candidate_no,candidate_label,keitai,lemma_term,surface_term,match_source,work_id,title_ja,title_zh,token_ids,sentence_id,sentence_index,kwic_left,key,kwic_right,surface,lemma,lemma_reading,lemma_id,pos,orth_base,pronunciation,goshu,ja_sentence,zh_translation,align_type,align_score,review_note
both-book01-23-468,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,468,23,23,品|の|よう|に|立っ|て|い|た|。|予約|時間|を|見越し|て|、|僕|が|来る|前|から,ずっと,そう|し|て|い|た|の|か|も|しれ|ない|。|自分|の|ヘア|スタイル|に|は|頓着|が|ない,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,予約時間を見越して、僕が来る前からずっとそうしていたのかもしれない。,店主站在理发椅旁边，乍一看就像椅子的附属品。 / 他可能算准了我的预约时间，早在我到达前就站在那里了。,2:2,1.0,
both-book01-27-537,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,537,27,27,た|。|椅子|に|座る|なり|白い|上掛け|を|着せかけ|られ|た|。|他人|に|、|それ|も|自分|より,ずっと,年上|の|人間|に|袖|を|通し|て|もらう|の|は|、|小さな|子ども|に|なっ|た|よう|で|気,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,他人に、それも自分よりずっと年上の人間に袖を通してもらうのは、小さな子どもになったようで気が引けて、片袖には自分から手を突っこもうとした。,让别人给自己穿衣服，而且还是年长很多的人，我感觉仿佛瞬间变成了小孩子，有些惶恐。 / 于是我想主动把手伸进袖子里，谁知店主的动作比我更快。,2:2,0.934937,
both-book01-380-6737,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,6737,380,380,た|。|私|ら|古い|床屋|は|、|東|から|昇っ|た|お|てんと|さま|が|、|この|先|も,ずっと,西|に|沈む|と|信じ|きっ|て|、|世間|の|流れ|から|目|を|背け|て|い|た|の|か,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,私ら古い床屋は、東から昇ったおてんとさまが、この先もずっと西に沈むと信じきって、世間の流れから目を背けていたのかもしれません。,也许是因为我们这些老理发师坚信，从东边升起的太阳今后还是会在西边落下，谁都不愿直视现实世界的潮流。,1:1,1.0,
both-book01-438-7742,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,7742,438,438,帰っ|た|あと|、|私|も|慎太郎|刈り|に|し|て|い|た|髪|を|切り|まし|た|。|以来,ずっと,、|この|頭|です|。|老舗|って|いう|だけ|の|ボロ|店|に|、|いつ|まで|も|しがみつい|て|い,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,以来ずっと、この頭です。,青年走后，我就把自己的慎太郎头给剃了。 / 打那时起，我的头就一直是您看到的样子。,2:2,1.0,
both-book01-506-9146,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,9146,506,506,の|ホステス|さん|も|顔負け|です|。|ええ|、|私|、|いろんな|方|を|見|て|き|まし|た|。,ずっと,、|鏡ごし|に|。|頭|に|続い|て|、|肩|。|首|が|がくがく|揺れ|た|。|マッサージ|なんて|頼ん,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ずっと、鏡ごしに。,当然，我一直是隔着镜子看的。,2:1,0.981616,
both-book01-539-9765,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,9765,539,539,を|大きく|さ|れ|て|も|、|社訓|じゃ|なく|初心|を|飾っ|て|ください|。|そう|です|か|、,ずっと,一人|で|やら|れ|て|いく|お|つもり|です|か|。|それ|が|賢明|か|も|しれ|ませ|ん|。,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,そうですか、ずっと一人でやられていくおつもりですか。,公司做得再大，也别把公司守则挂在墙上，挂上“初心”才对。 / 哦，您准备一个人做下去?,2:2,0.946531,
both-book01-666-12166,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,12166,666,666,さま|に|常|に|姿|を|見|られる|商売|です|。|それ|が|つらかっ|た|ん|です|。|海|を,ずっと,見|て|い|て|いただけれ|ば|、|私|の|顔|に|は|気|を|とめ|ない|だろう|。|そう|考え,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,海をずっと見ていていただければ、私の顔には気をとめないだろう。,可这偏偏是我最不能忍受的。 / 于是我想，要是客人能一直看着大海，就不会注意到我的脸了吧。,2:2,1.0,
both-book01-769-13903,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,13903,769,769,竹林|だ|。|周囲|と|の|関係|性|を|まるで|考え|て|い|ない|、|私|に|とっ|て|は,ずっと,気恥ずかしい|家|だっ|た|。|白い|壁|は|すっかり|くすん|で|い|た|けれど|、|今日|の|空|の|青,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,周囲との関係性をまるで考えていない、私にとってはずっと気恥ずかしい家だった。,然而马路对面种着一片大葱，背后则是竹林，可见设计者完全没考虑到房子与周围环境的关系。 / 在我心中，这一直是一栋让我备感尴尬的房子。,2:2,0.965429,
both-book01-987-17535,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,17535,987,987,って|思う|の|は|、|きっと|そっち|よ|。|私|は|独り|で|やっ|て|いく|。|これ|から|は,ずっと,」|なん|で|ここ|へ|来|て|しまっ|た|の|だろう|。|この|人|と|は|二|度|と|会わ,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,これからはずっと」,我会一个人过下去的，一辈子都不用你操心。”,2:1,0.92793,
both-book01-1305-22481,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,22481,1305,1305,呟い|た|だけ|だっ|た|。|「|なん|の|こと|？|」|覚え|て|ない|の|？|　|私|が,ずっと,忘れ|ず|に|い|た|言葉|な|の|に|。|母親|の|瞳|の|焦点|が|ようやく|私|に|合う,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,　私がずっと忘れずにいた言葉なのに。,我可是一直记着。,1:1,1.0,
