順位,オノマトペ,形態
1,ずっと,Aっと
2,ちゃんと,Aんと
3,どんどん,ABAB
4,確り,AっBり
5,ゆっくり,AっBり
6,はっきり,AっBり
7,段々,ABAB
8,きちんと,ABんと
9,そろそろ,ABAB
10,ぱっ,Aっ
11,すっかり,AっBり
12,目茶苦茶,ABCB
13,じっと,Aっと
14,たっぷり,AっBり
15,ふと,Aと
16,すっきり,AっBり
17,ぎりぎり,ABAB
18,そっと,Aっと
19,目茶目茶,ABAB
20,ほっと,Aっと
21,ぴっ,Aっ
22,のんびり,AんBり
23,さっぱり,AっBり
24,どきどき,ABAB
25,ぐるぐる,ABAB
26,がんがん,ABAB
27,ふっ,Aっ
28,さっ,Aっ
29,あっさり,AっBり
30,もふもふ,ABAB
31,ばーん,ABん
32,ひょっと,Aっと
33,ちょこっと,ABっと
34,ぐっ,Aっ
35,ちょこちょこ,ABAB
36,ぽん,Aん
37,ざっくり,AっBり
38,ばりばり,ABAB
39,ぴったり,AっBり
40,ちっ,Aっ
41,きっちり,AっBり
42,ばたばた,ABAB
43,すっ,Aっ
44,くるくる,ABAB
45,ばっ,Aっ
46,ぴん,Aん
47,ちらっ,ABっ
48,じっくり,AっBり
49,とんとん,ABAB
50,ぼんやり,AんBり
51,きちっと,ABっと
52,ゆったり,AっBり
53,うんと,Aんと
54,しゅっ,Aっ
55,わくわく,ABAB
56,だらだら,ABAB
57,ばっちり,AっBり
58,こっそり,AっBり
59,ぽんぽん,ABAB
60,ふわふわ,ABAB
61,ちん,Aん
62,うろうろ,ABAB
63,にこにこ,ABAB
64,がっかり,AっBり
65,がっ,Aっ
66,きらきら,ABAB
67,がっつり,AっBり
68,どん,Aん
69,きゅっ,Aっ
70,どーん,ABん
71,ごろごろ,ABAB
72,ばんばん,ABAB
73,はっと,Aっと
74,ぎゅっ,Aっ
75,ぼうっと,ABっと
76,もったり,AっBり
77,にっこり,AっBり
78,うっかり,AっBり
79,ちょろちょろ,ABAB
80,しゅっしゅっ,AっAっ
81,ふらふら,ABAB
82,ぶらぶら,ABAB
83,しっとり,AっBり
84,ぱーん,ABん
85,ぶつぶつ,ABAB
86,ばん,Aん
87,ころころ,ABAB
88,があん,ABん
89,無茶苦茶,ABCB
90,ぼちぼち,ABAB
91,ぱちん,ABん
92,ちょいちょい,ABAB
93,とっとっ,AっAっ
94,わーっ,ABっ
95,ぐったり,AっBり
96,ざっ,Aっ
97,ごちゃごちゃ,ABAB
98,ちょっぴり,AっBり
99,がたがた,ABAB
100,にやにや,ABAB
101,きっぱり,AっBり
102,ぴりぴり,ABAB
103,ぐるっ,ABっ
104,しゃっ,Aっ
105,ちゅっ,Aっ
106,ぶわー,ABC
107,てっきり,AっBり
108,がつがつ,ABAB
109,しゃかしゃか,ABAB
110,ぴよぴよ,ABAB
111,うんざり,AんBり
112,もこもこ,ABAB
113,ぼーん,ABん
114,ぱらぱら,ABAB
115,じわじわ,ABAB
116,ちらり,ABり
117,すーっ,ABっ
118,ういーん,ABCん
119,伸び伸び,ABAB
120,ぶるぶる,ABAB
121,さらさら,ABAB
122,ちらちら,ABAB
123,ぽっ,Aっ
124,くるり,ABり
125,こつこつ,ABAB
126,ぐずぐず,ABAB
127,じーっと,ABっと
128,ふっくら,AっBC
129,しゅっしゅ,AっA
130,にやり,ABり
131,ぎっしり,AっBり
132,どっと,Aっと
133,ひっそり,AっBり
134,しっくり,AっBり
135,ふわっ,ABっ
136,ずばり,ABり
137,ずるずる,ABAB
138,わっ,Aっ
139,ふーっ,ABっ
140,ぱん,Aん
141,つるつる,ABAB
142,ぽーん,ABん
143,すんなり,AんBり
144,もちもち,ABAB
145,さらっ,ABっ
146,ぴかぴか,ABAB
147,かっと,Aっと
148,そっくり,AっBり
149,つっ,Aっ
150,ぐわー,ABC
151,さっさと,AっAと
152,ぱちぱち,ABAB
153,かん,Aん
154,ぶうぶう,ABAB
155,くっきり,AっBり
156,ぞっと,Aっと
157,うっとり,AっBり
158,とん,Aん
159,ぴりっ,ABっ
160,べたべた,ABAB
161,ぼん,Aん
162,ぞろぞろ,ABAB
163,ぽつぽつ,ABAB
164,ふんわり,AんBり
165,ちゃっかり,AっBり
166,かりかり,ABAB
167,ぽつん,ABん
168,ぴたり,ABり
169,がん,Aん
170,ぐりぐり,ABAB
171,がっちり,AっBり
172,びっしり,AっBり
173,ぱりぱり,ABAB
174,ちょくちょく,ABAB
175,しゅわしゅわ,ABAB
176,ぐいぐい,ABAB
177,どかーん,ABCん
178,むずむず,ABAB
179,はあはあ,ABAB
180,さくさく,ABAB
181,しんと,Aんと
182,さーっ,ABっ
183,ぴいぴい,ABAB
184,むっと,Aっと
185,がらがら,ABAB
186,ぺろぺろ,ABAB
187,すっぽり,AっBり
188,ぴーん,ABん
189,わあわあ,ABAB
190,ずらり,ABり
191,ぴんぽーん,ABCDB
192,ぴしっ,ABっ
193,かっ,Aっ
194,がたん,ABん
195,ざわざわ,ABAB
196,まったり,AっBり
197,ぷっ,Aっ
198,わいわい,ABAB
199,べったり,AっBり
200,つんつん,ABAB
